LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
280	Dare County Schools	5805.67	65	376.26	105	4358.18	3	10540.11	9
290	Davidson County Schools	5229.39	109	314.21	113	1026.50	106	6570.10	115
300	Davie County Schools	5450.72	95	333.37	111	1445.63	63	7229.72	108
310	Duplin County Schools	6139.71	45	732.11	42	940.47	109	7812.29	79
320	Durham County Schools	5615.66	81	642.2	55	3077.23	6	9335.09	25
210	Edenton-Chowan County Schools	7126.99	23	811.66	33	1891.27	30	9829.92	17
330	Edgecombe County Schools	6094.90	46	653.96	53	877.27	113	7626.13	91
861	Elkin City Schools	6257.77	41	450.21	95	2078.94	19	8786.92	40
340	Forsyth County Schools	5680.86	73	548.1	72	2431.29	13	8660.25	46
350	Franklin County Schools	5635.27	78	618.17	57	1390.04	71	7643.48	89
360	Gaston County Schools	5164.69	112	518.51	83	1354.65	75	7037.85	113
370	Gates County Schools	7547.87	10	608.44	58	1577.32	54	9733.63	22
380	Graham County Schools	8488.23	4	1009.64	18	904.21	112	10402.08	10
390	Granville County Schools	5673.81	74	438.72	96	1405.70	66	7518.23	98
400	Greene County Schools	7192.19	19	811.49	34	1177.97	93	9181.65	31
410	Guilford County Schools	5306.11	104	604.59	60	2615.67	10	8526.37	51
420	Halifax County Schools	7289.93	17	1039.38	17	955.38	108	9284.69	29
430	Harnett County Schools	5622.63	79	533.28	80	1248.81	85	7404.72	104
440	Haywood County Schools	5665.20	76	571.53	68	1924.89	28	8161.62	67
450	Henderson County Schools	5446.13	96	537.21	78	1589.16	51	7572.50	95
460	Hertford County Schools	7664.98	8	1092.50	13	1298.02	78	10055.50	13
181	Hickory City Schools	5365.94	100	591.28	61	1593.58	49	7550.80	97
470	Hoke County Schools	6370.59	36	786.67	37	1060.01	104	8217.27	64
480	Hyde County Schools	12226.33	2	1438.78	1	2014.46	23	15679.57	1
490	Iredell-Statesville Schools	5274.46	106	391.46	104	1677.39	43	7343.31	106
500	Jackson County Schools	5954.78	55	581.54	65	2075.12	20	8611.44	49
510	Johnston County Schools	5477.80	91	422.71	98	1529.55	58	7430.06	102
520	Jones County Schools	9111.56	3	980.73	20	1170.83	95	11263.12	5
132	Kannapolis City Schools	5457.64	94	855.84	27	1709.94	40	8023.42	70
530	Lee County Schools	5601.34	84	529.11	81	1598.68	48	7729.13	82
540	Lenoir County Schools	6203.63	43	776.95	39	1295.77	79	8276.35	61
291	Lexington City Schools	6250.55	42	925.42	24	1865.90	31	9041.87	32
550	Lincoln County Schools	5403.46	98	414.32	99	1354.73	74	7172.51	109
560	Macon County Schools	5787.18	69	515.99	84	1771.87	39	8075.04	69
570	Madison County Schools	6792.72	28	590.88	62	1070.82	102	8454.42	55
580	Martin County Schools	7344.94	13	1228.18	8	1787.05	36	10360.17	11
590	McDowell County Schools	5965.54	54	536.13	79	1215.69	89	7717.36	83
610	Mitchell County Schools	7131.54	21	498.15	88	1221.42	88	8851.11	37
620	Montgomery County Schools	6314.11	38	767.53	40	1547.82	56	8629.46	48
630	Moore County Schools	5414.43	97	488.4	91	1852.62	33	7755.45	81
491	Mooresville City Schools	5152.79	113	275.28	114	2023.34	22	7451.41	100
862	Mount Airy City Schools	6305.49	39	933.14	23	2047.77	21	9286.40	28
640	Nash-Rocky Mount Schools	5805.03	66	684.01	47	1413.00	65	7902.04	74
650	New Hanover County Schools	5360.41	101	607.55	59	2958.50	7	8926.46	33
182	Newton-Conover City Schools	5645.72	77	1058.93	14	1777.20	37	8481.85	53
660	Northampton County Schools	7585.83	9	1183.28	10	1790.99	35	10560.10	8
670	Onslow County Schools	5263.79	107	571	69	1587.93	52	7422.72	103
680	Orange County Schools	5593.47	85	356.49	109	3438.96	4	9388.92	24
690	Pamlico County Schools	8132.28	5	969.22	21	1489.40	60	10590.90	7
700	Pasquotank County Schools	6154.24	44	832.57	30	1821.40	34	8808.21	39
710	Pender County Schools	5521.88	90	538.38	77	1391.28	70	7451.54	99
720	Perquimans County Schools	7333.99	15	1040.24	16	1295.59	80	9669.82	23
730	Person County Schools	5874.02	61	474.51	93	1556.96	55	7905.49	73
740	Pitt County Schools	5607.56	83	575.65	66	1589.53	50	7772.74	80
750	Polk County Schools	6662.22	31	584.39	63	2602.46	11	9849.07	16
760	Randolph County Schools	5346.38	102	403.75	102	1230.61	87	6980.74	114
770	Richmond County Schools	6520.67	34	728.7	43	1062.39	103	8311.76	59
421	Roanoke Rapids City Schools	6057.99	47	810.45	35	1856.34	32	8724.78	45
780	Robeson County Schools	6384.76	35	1126.30	11	847.52	114	8358.58	57
790	Rockingham County Schools	5833.95	64	583.87	64	1397.41	68	7815.23	78
800	Rowan-Salisbury County Schools	5460.70	93	543.49	76	1674.86	44	7679.05	86
810	Rutherford County Schools	5976.76	53	575.24	67	1393.92	69	7945.92	71
999	STATE TOTAL	5612.47	0	572.9	0	1860.12	0	8045.49	0
820	Sampson County Schools	5951.68	56	717.17	44	934.98	110	7603.83	93
830	Scotland County Schools	6822.50	27	1332.32	3	1641.71	46	9796.53	19
840	Stanly County Schools	5990.45	52	497.8	89	1165.38	96	7653.63	88
850	Stokes County Schools	5923.78	58	508.22	85	1387.46	72	7819.46	77
860	Surry County Schools	5857.98	62	547.56	74	1292.75	81	7698.29	84
870	Swain County Schools	7440.32	11	1056.09	15	1244.29	86	9740.70	21
292	Thomasville City Schools	5838.31	63	1307.35	4	1775.34	38	8921.00	34
880	Transylvania County Schools	5609.83	82	547.64	73	2080.14	18	8237.61	62
890	Tyrrell County Schools	12864.36	1	1290.64	6	1207.40	91	15362.40	2
900	Union County Schools	5045.88	115	331.16	112	1936.22	26	7313.26	107
910	Vance County Schools	6571.39	33	857.58	26	1172.47	94	8601.44	50
920	Wake County Schools	5180.39	111	371.8	106	2269.17	16	7821.36	76
930	Warren County Schools	7381.04	12	936.92	22	1459.71	62	9777.67	20
940	Washington County Schools	7778.98	6	1305.30	5	1701.14	41	10785.42	6
950	Watauga County Schools	5717.73	71	406.31	101	2764.18	9	8888.22	35
960	Wayne County Schools	6030.81	49	652.2	54	1180.66	92	7863.67	75
422	Weldon City Schools	7180.33	20	1390.26	2	2782.88	8	11353.47	4
241	Whiteville City Schools	6288.11	40	888.03	25	1030.05	105	8206.19	65
970	Wilkes County Schools	5617.57	80	545.68	75	1398.03	67	7561.28	96
980	Wilson County Schools	5334.51	103	712.82	45	1529.55	58	7576.88	94
990	Yadkin County Schools	5944.99	57	456.52	94	1211.94	90	7613.45	92
995	Yancey County Schools	6955.21	26	778.64	38	1152.01	97	8885.86	36
