	 		2012							2013							2014																																																																																																																																													
	School System & School		# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3																																																																																																																																							
560	 Macon County Schools 		210	79.2	502	497	474	999	1473	99	38.5	492	506	484	998	1482	124	36.4	513	514	484	1027	1511																																																																																																																																							
560	320	 Franklin High 	102	57.0	495	481	461	976	1437	74	43.5	491	499	476	990	1466	84	37.5	508	508	479	1016	1495																																																																																																																																							
560	324	 Highlands School 	19	55.9	544	501	494	1045	1539	10	47.6	494	534	507	1028	1535	13	56.5	502	507	483	1009	1492																																																																																																																																							
560	329	 Macon County Early College Hig 	16	50.0	503	533	488	1036	1524	10	23.8	489	520	514	1009	1523	21	37.5	543	547	511	1090	1601																																																																																																																																							
560	332	 Nantahala School 	4	100.0	 * 	 * 	 * 	 * 	 * 	5	45.5	514	526	490	1040	1530	6	85.7	498	497	457	995	1452																																																																																																																																							
570	 Madison County Schools 		64	41.3	490	489	455	979	1434	79	41.8	490	493	466	983	1449	66	35.5	509	507	478	1016	1494																																																																																																																																							
570	317	 Madison Early College High 	7	25.0	504	574	511	1078	1589	13	31.7	542	544	502	1086	1588	23	51.1	508	517	483	1025	1508																																																																																																																																							
570	318	 Madison High 	57	44.9	488	479	448	967	1415	66	44.6	480	483	459	963	1422	43	30.5	510	501	476	1011	1487																																																																																																																																							
580	 Martin County Schools 		112	49.8	472	434	410	906	1316	106	54.9	480	439	430	919	1349	100	46.1	468	437	412	905	1317																																																																																																																																							
580	344	 South Creek High 	54	48.6	471	422	398	893	1291	34	48.6	475	436	427	911	1338	33	40.7	435	403	394	838	1232																																																																																																																																							
580	368	 Riverside High 	58	50.9	473	446	421	919	1340	72	58.5	482	440	431	922	1353	67	49.3	484	453	421	937	1358																																																																																																																																							
58B 	 Bear Grass Charter School 			   	   	   	   	   	   		   	   	   	   	   	   	7	19.4	464	493	491	957	1448																																																																																																																																							
590	 Mcdowell County Schools 		207	50.7	496	485	466	981	1447	178	43.3	493	481	473	974	1447	162	44.5	500	503	474	1003	1477																																																																																																																																							
590	328	 Mcdowell Early College 	38	76.0	507	496	468	1003	1471	32	45.7	482	476	452	958	1410	36	NA	494	507	485	1001	1486																																																																																																																																							
590	330	 Mcdowell High 	169	47.2	494	483	466	977	1443	146	42.8	496	482	477	978	1455	126	34.6	502	502	471	1004	1475																																																																																																																																							
600	 Charlotte-Mecklenburg Schools		5531	67.5	503	487	473	990	1463	5016	59.7	503	493	477	996	1473	5030	57.4	509	501	481	1010	1491																																																																																																																																							
600	302	 Ardrey Kell High 	474	87.5	568	538	535	1106	1641	445	81.8	560	541	535	1101	1636	470	83.6	568	550	537	1118	1655																																																																																																																																							
600	312	 William Amos Hough High 	331	81.3	537	518	507	1055	1562	341	73.7	534	520	498	1054	1552	344	70.3	544	534	510	1078	1588																																																																																																																																							
600	334	 Cato Middle College High 	93	94.9	541	537	527	1078	1605	84	84.8	561	547	528	1108	1636	92	97.9	572	568	530	1140	1670																																																																																																																																							
600	361	 David W. Butler High 	305	65.3	528	499	485	1027	1512	268	56.9	526	518	499	1044	1543	281	57.5	524	515	491	1039	1530																																																																																																																																							
600	364	 Marie G. Davis Military & Globa 	21	91.3	440	422	401	862	1263	12	48.0	417	433	413	850	1263	17	85	451	415	417	866	1283																																																																																																																																							
600	377	 East Mecklenburg High 	179	54.6	506	489	468	995	1463	204	57.8	511	491	479	1002	1481	197	54.4	511	505	476	1016	1492																																																																																																																																							
600	397	Garinger High								142	44.2	412	407	399	819	1218	113	34.1	419	406	400	825	1225																																																																																																																																							
600	386	 Hawthorne High/Taps 	21	47.7	403	371	379	774	1153	1	2.4	 * 	 * 	 * 	 * 	 * 	1	4.8	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
600	405	 Harding Univ High 	201	69.3	440	435	421	875	1296	140	46.8	459	449	442	908	1350	129	41.5	422	438	414	860	1274																																																																																																																																							
600	415	 Hopewell High 	255	67.3	473	466	451	939	1390	207	54.3	467	459	446	926	1372	213	57	476	473	446	949	1395																																																																																																																																							
600	426	 Independence High 	220	55.4	487	471	451	958	1409	217	48.8	485	473	462	958	1420	214	44.8	501	488	469	989	1458																																																																																																																																							
600	445	 Mallard Creek High 	358	77.3	482	469	459	951	1410	315	60.5	492	488	468	980	1448	287	60	484	476	450	960	1410																																																																																																																																							
600	457	 Rocky River High 	217	59.9	449	436	423	885	1308	181	54.4	447	446	431	893	1324	219	53.4	450	444	429	894	1323																																																																																																																																							
600	466	 Myers Park High 	492	78.3	561	550	530	1111	1641	434	73.1	566	553	534	1119	1653	432	69.7	565	560	543	1125	1668																																																																																																																																							
600	480	 North Mecklenburg High 	212	69.5	503	497	481	1000	1481	194	59.9	487	487	472	974	1446	229	57.4	485	479	460	964	1424																																																																																																																																							
600	482	 Northwest School of the Arts	101	75.4	513	542	514	1055	1569	91	80.5	475	505	480	980	1460	97	78.2	493	540	515	1033	1548																																																																																																																																							
600	496	 Phillip O Berry High 	221	78.4	468	452	433	920	1353	203	68.6	488	470	448	958	1406	220	73.3	477	468	451	945	1396																																																																																																																																							
600	498	 Performance Learning Center 	18	22.2	490	514	486	1004	1490	17	20.5	451	446	435	897	1332	14	20.3	537	520	491	1057	1548																																																																																																																																							
600	508	 Providence High 	419	89.0	594	564	550	1158	1708	381	84.7	577	564	547	1141	1688	408	82.1	595	578	561	1173	1734																																																																																																																																							
600	535	 South Mecklenburg High 	359	71.9	518	504	490	1022	1512	315	64.8	524	520	503	1044	1547	328	57.2	530	531	508	1061	1569																																																																																																																																							
600	576	 West Charlotte High 	169	53.0	414	394	386	808	1194	141	42.5	411	394	382	805	1187	121	39.3	415	407	393	822	1215																																																																																																																																							
600	579	 West Mecklenburg High 	218	54.5	423	412	400	835	1235	176	46.8	421	409	393	830	1223	156	38.2	432	415	395	847	1242																																																																																																																																							
600	592	 Zebulon B. Vance High 	220	58.4	431	425	406	856	1262	194	46.2	421	412	399	833	1232	176	44.4	414	406	394	820	1214																																																																																																																																							
600	693	 Renaissance School At Olympic 	46	56.1	469	454	435	923	1358	55	55.6	474	483	471	957	1428	45	31	461	468	455	929	1384																																																																																																																																							
600	694	 Olympic High-Math-Eng-Tech Sci 	74	79.6	521	486	449	1007	1456	81	68.6	486	454	440	940	1380	94	78.3	491	462	447	953	1400																																																																																																																																							
600	695	 Int Studies & Global Economics 	47	56.6	467	445	423	912	1335	49	49.0	440	443	422	883	1305	40	40	454	458	427	912	1339																																																																																																																																							
600	696	 Int Business & Communication S 	43	51.8	407	391	386	798	1184	38	39.6	433	430	423	863	1286	39	41.1	408	409	385	817	1202																																																																																																																																							
600	697	" Biotechnology, Health & Pub A"	68	 NA 	481	464	444	945	1389	57	66.3	457	459	438	916	1354	54	57.4	470	444	439	914	1353																																																																																																																																							
60C 	 Kennedy Charter 		7	25.9	344	351	357	695	1052	14	58.3	378	383	361	761	1122	8	36.4	386	415	378	801	1179																																																																																																																																							
60D 	 Lake Norman Charter 		177	100.0	545	532	517	1077	1594	190	97.9	544	532	521	1076	1597	178	96.2	567	551	536	1118	1654																																																																																																																																							
60G 	 Queens Grant Community		79	88.8	504	492	475	996	1471	61	70.1	518	535	527	1053	1580	73	68.2	507	517	500	1024	1524																																																																																																																																							
60H 	 Crossroads Charter High		13	13.3	386	382	365	768	1133	9	12.2	368	342	342	710	1052	12	21.8	384	337	361	721	1082																																																																																																																																							
60I 	 Community School Of Davidson 			   	   	   	   	   	   		   	   	   	   	   	   	86	78.2	547	541	534	1088	1622																																																																																																																																							
610	 Mitchell County Schools 		72	59.5	493	478	449	971	1420	73	50.7	504	505	467	1009	1476	59	43.4	508	522	473	1030	1503																																																																																																																																							
610	332	 Mayland Early College 		   	   	   	   	   	   		   	   	   	   	   	   	8	33.3	518	548	545	1066	1611																																																																																																																																							
610	334	 Mitchell High 	72	59.5	493	478	449	971	1420	73	55.3	504	505	467	1009	1476	51	45.5	507	518	462	1025	1487																																																																																																																																							
620	 Montgomery County Schools 		129	47.4	467	439	425	906	1331	108	45.6	435	426	416	861	1277	114	41.6	425	409	401	834	1235																																																																																																																																							
620	316	 East Montgomery High 	67	57.3	459	436	430	895	1325	58	54.2	410	408	403	818	1221	68	51.1	412	405	397	817	1214																																																																																																																																							
620	340	 West Montgomery High 	62	48.8	476	442	419	918	1337	50	40.3	465	446	430	911	1341	46	35.7	444	414	408	858	1266																																																																																																																																							
630	 Moore County Schools 		504	63.2	508	488	471	996	1467	429	55.5	512	505	480	1017	1497	459	48.8	506	502	476	1008	1484																																																																																																																																							
630	332	 North Moore High 	59	55.1	508	462	450	970	1420	52	35.4	480	442	439	922	1361	42	35.3	478	462	447	940	1387																																																																																																																																							
630	336	 Pinecrest High 	293	68.1	511	492	477	1003	1480	267	67.1	522	514	485	1036	1521	317	60.5	506	505	480	1011	1491																																																																																																																																							
630	360	 Union Pines High 	152	59.6	501	491	467	992	1459	110	48.5	503	513	488	1016	1504	100	34	516	509	476	1025	1501																																																																																																																																							
640	 Nash-Rocky Mount Schools 		573	51.4	480	455	435	935	1370	514	44.3	470	451	434	921	1355	536	48.7	476	454	428	930	1358																																																																																																																																							
640	340	 Wl Greene Alternative 		   	   	   	   	   	   		   	   	   	   	   	   	1	12.5	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
640	346	 Nash Central High 	134	52.3	493	450	433	943	1376	126	49.6	475	447	424	922	1346	119	44.7	467	441	426	908	1334																																																																																																																																							
640	347	 Nrm Early College High 	45	70.3	460	472	458	932	1390	35	50.0	466	478	461	944	1405	40	56.3	477	468	446	945	1391																																																																																																																																							
640	350	 Northern Nash High 	144	51.8	479	453	435	932	1367	117	46.6	454	441	428	895	1323	125	53.9	471	456	428	927	1355																																																																																																																																							
640	361	 Rocky Mount High 	147	56.3	471	455	436	926	1362	137	51.1	486	460	443	946	1389	142	54	483	453	427	936	1363																																																																																																																																							
640	364	 Southern Nash Sr High 	103	41.2	487	459	427	946	1373	99	35.4	464	446	434	910	1344	109	41.9	484	464	425	948	1373																																																																																																																																							
64A 	 Rocky Mount Preparatory 		40	78.4	469	456	440	925	1365	40	88.9	437	431	410	868	1278	38	80.9	447	438	406	885	1291																																																																																																																																							
650	 New Hanover County Schools 		1027	64.3	521	503	477	1024	1501	1032	59.9	526	516	494	1042	1536	948	55.7	522	512	484	1034	1518																																																																																																																																							
650	326	 Emsley A Laney High 	209	58.5	504	494	466	998	1464	218	51.1	515	509	485	1024	1509	197	42.5	514	504	478	1018	1496																																																																																																																																							
650	327	 Eugene Ashley High 	211	61.5	509	500	473	1009	1482	197	52.5	513	505	491	1018	1509	193	49.1	507	495	474	1002	1476																																																																																																																																							
650	340	 Isaac Bear Middle College High 	33	100.0	586	565	530	1151	1681	51	92.7	570	580	546	1150	1696	60	100	556	578	532	1134	1666																																																																																																																																							
650	342	 John T Hoggard High 	318	77.6	558	521	502	1079	1581	293	78.6	561	537	515	1098	1613	231	67.2	564	540	507	1104	1611																																																																																																																																							
650	352	 New Hanover High 	229	65.8	493	481	450	974	1424	228	57.7	505	496	477	1001	1478	217	66.6	499	489	465	988	1453																																																																																																																																							
650	355	 Mary S. Mosley Performance Lrn 	2	8.7	 * 	 * 	 * 	 * 	 * 	10	71.4	386	368	363	754	1117	9	60	444	447	410	891	1301																																																																																																																																							
650	394	 Wilmington Early College High 	25	46.3	481	480	446	961	1407	35	58.3	493	512	475	1005	1480	41	55.4	488	508	479	996	1475																																																																																																																																							
660	 Northampton County Schools 		85	59.9	399	386	375	785	1160	69	55.6	419	393	383	812	1195	53	45.7	401	401	378	802	1180																																																																																																																																							
660	336	 Northampton High-East 	44	50.6	418	407	396	825	1221	58	47.9	420	390	379	810	1189	53	45.7	401	401	378	802	1180																																																																																																																																							
66A 	 Gaston College Preparatory 		65	100.0	466	455	448	921	1369	26	43.3	474	460	463	934	1397	10	15.9	471	487	471	958	1429																																																																																																																																							
670	 Onslow County Schools 		781	63.0	494	480	454	974	1428	746	55.3	483	478	453	961	1414	662	44.8	486	480	452	966	1418																																																																																																																																							
670	320	 Dixon High 	67	52.3	491	478	459	969	1428	78	49.1	471	468	438	939	1377	78	44.6	491	497	468	988	1456																																																																																																																																							
670	324	 Jacksonville High 	145	83.8	504	484	454	988	1442	146	64.0	490	482	450	972	1422	123	53.2	493	475	451	968	1419																																																																																																																																							
670	333	 Northside High School 	110	61.5	468	475	438	943	1381	90	47.1	465	476	442	941	1383	79	41.4	464	474	440	938	1378																																																																																																																																							
670	340	 Richlands High 	101	50.5	503	486	455	989	1444	110	48.7	489	485	457	974	1431	84	35.6	480	475	447	955	1402																																																																																																																																							
670	344	 Southwest High 	96	67.1	475	443	432	918	1350	75	55.6	461	447	448	908	1356	69	42.9	466	457	436	923	1359																																																																																																																																							
670	352	 Swansboro High 	119	63.3	516	501	467	1017	1484	96	50.0	511	505	478	1016	1494	114	45.8	508	500	464	1008	1472																																																																																																																																							
670	364	 White Oak High 	143	62.4	494	484	466	978	1444	151	68.9	481	473	452	954	1406	115	48.9	482	474	451	956	1407																																																																																																																																							
680	 Orange County Schools 		360	69.6	529	515	498	1044	1542	297	65.6	523	515	499	1038	1537	309	61.3	526	525	498	1051	1549																																																																																																																																							
680	310	 Cedar Ridge Hs 	161	69.7	548	537	525	1085	1610	146	69.9	544	533	516	1077	1593	150	65.5	532	538	520	1070	1590																																																																																																																																							
680	332	 Orange Senior High 	199	70.1	514	497	476	1011	1487	151	63.2	503	498	482	1001	1483	159	58	520	513	478	1033	1511																																																																																																																																							
681	 Chapel Hill-Carrboro 		729	89.7	605	589	572	1194	1766	720	82.9	604	588	578	1192	1770	705	82	599	584	570	1183	1753																																																																																																																																							
681	305	 Carbaro High School 	150	89.3	598	587	565	1185	1750	138	75.4	570	562	551	1132	1683	181	74.8	589	585	562	1174	1736																																																																																																																																							
681	308	 Chapel Hill High 	283	87.9	604	581	569	1185	1754	264	81.7	622	593	582	1215	1797	241	83.1	610	583	573	1193	1766																																																																																																																																							
681	314	 East Chapel Hill High 	295	93.7	610	598	578	1208	1786	317	89.8	604	594	585	1198	1783	282	88.1	596	584	572	1180	1752																																																																																																																																							
681	338	 Phoenix Academy High 	1	14.3	 * 	 * 	 * 	 * 	 * 	1	12.5	 * 	 * 	 * 	 * 	 * 	1	12.5	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
68N 	 Pace Academy 		1	2.3	 * 	 * 	 * 	 * 	 * 	3	7.3	 * 	 * 	 * 	 * 	 * 	5	9.1	356	394	352	750	1102																																																																																																																																							
690	 Pamlico County Schools 		69	53.5	517	478	451	995	1446	52	46.8	498	487	451	985	1436	37	40.2	486	470	431	956	1387																																																																																																																																							
690	320	 Pamlico County High 	69	53.5	517	478	451	995	1446	52	46.8	498	487	451	985	1436	37	40.2	486	470	431	956	1387																																																																																																																																							
700	 Elizabeth City-Pasquotank 		224	61.2	462	443	426	905	1331	209	56.0	443	445	427	888	1315	178	49.9	455	461	434	916	1350																																																																																																																																							
700	317	 Northeastern High 	136	72.0	455	436	423	891	1314	126	63.6	447	454	431	901	1332	97	52.4	449	455	425	904	1329																																																																																																																																							
700	319	 Pasquotank County High 	88	55.0	472	454	430	926	1356	83	53.9	438	432	420	870	1290	81	52.6	463	469	444	932	1376																																																																																																																																							
710	 Pender County Schools 		344	57.8	491	479	460	970	1430	282	50.6	494	489	469	983	1452	250	42.6	499	502	478	1001	1479																																																																																																																																							
710	321	 Heide Trask High 	70	47.3	472	452	451	924	1375	48	40.3	461	466	447	927	1374	45	28.3	449	432	416	881	1297																																																																																																																																							
710	326	 Pender High 	64	49.2	443	431	406	874	1280	41	34.7	458	446	409	904	1313	34	28.6	464	467	436	931	1367																																																																																																																																							
710	327	 Pender Early College High 	38	57.6	480	490	452	970	1422	32	43.2	493	501	472	994	1466	35	55.6	521	540	505	1061	1566																																																																																																																																							
710	342	 Topsail High 	172	68.5	519	506	486	1025	1511	161	65.4	514	505	490	1019	1509	136	55.3	518	525	502	1043	1545																																																																																																																																							
720	 Perquimans County Schools 		47	49.0	497	470	446	967	1413	56	50.9	471	449	417	920	1337	54	46.2	463	446	424	909	1333																																																																																																																																							
720	316	 Perquimans Co High 	47	49.0	497	470	446	967	1413	56	50.9	471	449	417	920	1337	54	46.2	463	446	424	909	1333																																																																																																																																							
730	 Person County Schools 		147	46.8	488	473	454	961	1415	141	51.5	489	474	454	963	1417	146	48.7	467	458	442	925	1367																																																																																																																																							
730	352	 Person High 	147	46.8	488	473	454	961	1415	141	51.5	489	474	454	963	1417	146	48.7	467	458	442	925	1367																																																																																																																																							
73B 	 Roxboro Community School 		51	64.6	481	491	472	972	1444	30	51.7	510	529	509	1039	1548	41	53.9	526	518	495	1044	1539																																																																																																																																							
740	 Pitt County Schools 		805	61.7	486	466	440	952	1392	727	55.7	496	481	456	977	1433	751	50.9	490	475	442	965	1407																																																																																																																																							
740	309	 Ayden-Grifton High 	79	54.1	478	465	431	943	1374	62	43.7	460	458	438	918	1356	74	48.7	450	449	414	899	1313																																																																																																																																							
740	333	 D H Conley High 	157	61.8	512	491	459	1003	1462	161	58.3	524	497	470	1021	1491	162	51.3	527	504	460	1031	1491																																																																																																																																							
740	344	 Farmville Central High 	86	58.9	462	441	418	903	1321	73	47.7	452	433	413	885	1298	82	54.7	452	447	403	899	1302																																																																																																																																							
740	366	 J H Rose High 	200	68.3	510	493	469	1003	1472	185	68.5	529	516	493	1045	1538	169	55	526	511	489	1037	1526																																																																																																																																							
740	374	 North Pitt High 	82	46.6	440	411	391	851	1242	59	36.4	446	412	390	858	1248	64	35.4	451	431	398	882	1280																																																																																																																																							
740	388	 South Central High 	201	69.8	475	455	430	930	1360	187	61.7	484	479	450	963	1413	200	54.2	471	457	428	928	1356																																																																																																																																							
750	 Polk County Schools 		90	52.9	529	496	487	1025	1512	66	43.4	523	513	513	1036	1549	53	32.9	518	502	465	1020	1485																																																																																																																																							
750	317	 Polk Co. Virtual Early College 	4	80.0	 * 	 * 	 * 	 * 	 * 	4	40.0	 * 	 * 	 * 	 * 	 * 	5	38.5	486	562	496	1048	1544																																																																																																																																							
750	318	 Polk County High 	86	52.1	529	492	487	1021	1508	62	43.7	525	512	514	1037	1551	48	32.4	521	496	462	1017	1479																																																																																																																																							
760	 Randolph County Schools 		563	52.6	494	471	453	965	1418	495	43.9	490	468	452	958	1410	459	38.2	486	470	446	956	1402																																																																																																																																							
760	318	 Eastern Randolph High 	72	45.3	494	467	434	961	1395	57	37.7	479	463	439	942	1381	55	34.4	446	466	434	912	1346																																																																																																																																							
760	339	 Providence Grove High 	95	57.6	494	466	449	960	1409	81	49.7	490	476	458	966	1424	69	36.5	478	454	437	932	1369																																																																																																																																							
760	348	 Randleman High 	58	42.0	480	458	439	938	1377	66	36.3	473	439	438	912	1350	62	33	472	445	427	917	1344																																																																																																																																							
760	354	 Randolph Early College High 	50	68.5	505	503	477	1008	1485	51	70.8	513	504	486	1017	1503	43	68.3	517	515	484	1032	1516																																																																																																																																							
760	358	 Southwestern High 	98	44.3	507	477	454	984	1438	78	31.7	499	475	447	974	1421	86	31	494	476	440	970	1410																																																																																																																																							
760	380	 Trinity High 	90	56.6	493	467	458	960	1418	62	44.0	489	458	451	947	1398	58	38.9	515	475	459	990	1449																																																																																																																																							
760	388	 Wheatmore High 	100	64.5	485	467	461	952	1413	100	58.1	487	465	449	952	1401	86	48.6	487	472	452	959	1411																																																																																																																																							
761	 Asheboro City Schools 		170	67.5	494	479	459	973	1432	157	59.9	479	464	453	943	1396	132	52.6	473	469	449	942	1391																																																																																																																																							
761	304	 Asheboro High 	170	67.5	494	479	459	973	1432	157	59.9	479	464	453	943	1396	132	52.6	473	469	449	942	1391																																																																																																																																							
770	 Richmond County Schools 		214	38.5	446	435	419	881	1300	189	36.5	455	451	436	906	1342	138	24.2	442	435	420	877	1297																																																																																																																																							
770	348	 Richmond Senior High 	182	41.9	440	428	413	868	1281	148	37.8	447	441	427	888	1315	124	27.3	439	429	416	868	1284																																																																																																																																							
770	349	 Richmond Early College High 	31	51.7	485	480	452	965	1417	41	69.5	484	488	468	972	1440	14	37.8	469	493	452	962	1414																																																																																																																																							
780	Robeson County Public Schools 		618	40.9	441	408	398	849	1247	535	35.7	432	409	392	841	1233	472	33.5	439	426	410	865	1275																																																																																																																																							
780	325	 Fairmont High 	43	27.7	441	417	398	858	1256	38	27.0	438	418	394	856	1250	47	38.5	435	418	398	853	1251																																																																																																																																							
780	342	 Lumberton Senior High 	232	49.7	443	413	404	856	1260	174	43.0	449	433	408	882	1290	173	39.5	452	439	419	891	1310																																																																																																																																							
780	385	 Robeson County Early College 	23	42.6	476	458	465	934	1399	22	36.1	507	482	452	989	1441	26	40.6	515	536	486	1051	1537																																																																																																																																							
780	391	 Red Springs High 	64	39.5	419	385	378	804	1182	66	38.2	419	385	381	804	1185	49	29.2	392	384	389	776	1165																																																																																																																																							
780	401	 Saint Pauls High 	69	35.6	449	416	410	865	1275	33	16.2	436	409	401	845	1246	26	15.2	455	452	426	907	1333																																																																																																																																							
780	402	 South Robeson High 	42	42.0	410	367	371	777	1148	53	45.3	391	390	368	781	1149	51	45.5	388	375	362	763	1125																																																																																																																																							
780	420	 Purnell Swett High 	145	38.4	445	406	388	851	1239	149	37.3	419	387	376	806	1182	100	30	444	418	411	862	1273																																																																																																																																							
790	 Rockingham County Schools 		444	55.0	472	448	437	920	1357	392	47.5	466	457	436	923	1359	402	43	478	469	442	947	1389																																																																																																																																							
790	314	 Dalton Mcmichael High 	74	42.5	494	486	460	980	1440	93	48.2	471	467	448	938	1386	109	48	468	460	423	928	1351																																																																																																																																							
790	354	 John M Morehead High 	126	56.3	470	433	434	903	1337	110	62.1	459	457	420	916	1336	95	46.6	474	475	448	949	1397																																																																																																																																							
790	366	 Reidsville High 	117	77.5	441	407	398	848	1246	93	55.7	441	423	406	864	1270	87	51.2	446	435	421	881	1302																																																																																																																																							
790	378	 Rockingham Co High 	121	58.2	492	477	463	969	1432	72	38.9	494	477	473	971	1444	89	40.5	523	505	477	1028	1505																																																																																																																																							
790	379	 Rockinghan County Early Colleg 	6	12.8	448	505	448	953	1401	24	23.8	490	496	474	986	1460	22	19.8	482	483	445	965	1410																																																																																																																																							
800	 Rowan-Salisbury Schools 		702	53.8	483	466	446	949	1395	640	50.4	484	469	452	953	1405	581	45	482	471	446	953	1399																																																																																																																																							
800	308	 Henderson Independent Hs 		   	   	   	   	   	   		   	   	   	   	   	   	3	37.5	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
800	340	 East Rowan High 	135	54.2	503	481	456	984	1440	92	45.5	502	471	459	973	1432	89	42.8	508	476	462	984	1446																																																																																																																																							
800	361	 Jesse C. Carson High 	138	47.4	487	472	447	959	1406	108	43.0	483	458	448	941	1389	104	38.8	473	456	421	929	1350																																																																																																																																							
800	376	 North Rowan High 	48	42.9	445	418	412	863	1275	55	38.7	434	433	401	867	1268	50	34	411	412	391	823	1214																																																																																																																																							
800	394	 Rowan County Early College 	45	100.0	487	472	473	959	1432	57	93.4	516	501	481	1017	1498	45	90	508	498	476	1006	1482																																																																																																																																							
800	396	 Salisbury High 	124	65.6	482	458	453	940	1393	107	61.5	482	475	454	957	1411	86	49.1	536	517	491	1053	1544																																																																																																																																							
800	400	 South Rowan High 	85	44.7	488	470	453	958	1411	95	43.4	486	465	458	951	1409	90	43.1	488	479	456	967	1423																																																																																																																																							
800	408	 West Rowan High 	127	55.5	468	464	426	932	1358	126	60.3	481	474	453	955	1408	114	50.7	448	456	431	904	1335																																																																																																																																							
810	 Rutherford County Schools 		319	58.7	475	465	441	940	1381	303	53.8	450	443	424	893	1317	253	43.7	465	456	436	921	1357																																																																																																																																							
810	324	 Chase High 	91	54.8	470	440	418	910	1328	76	41.5	447	435	423	882	1305	53	40.5	440	433	407	873	1280																																																																																																																																							
810	340	 East Rutherford High 	91	65.5	462	453	427	915	1342	100	71.4	432	424	408	856	1264	93	55.4	450	439	428	889	1317																																																																																																																																							
810	384	 R S Central 	92	54.1	472	484	452	956	1408	101	54.0	461	458	433	919	1352	94	41.6	485	474	451	959	1410																																																																																																																																							
810	385	 Rutherford County Early Col Hi 	38	100.0	533	509	505	1042	1547	23	76.7	497	500	467	997	1464	12	35.3	542	558	518	1100	1618																																																																																																																																							
810	386	 Rutherford Opportunity Center 	7	23.3	436	460	421	896	1317	3	13.0	 * 	 * 	 * 	 * 	 * 	1	5	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
81A 	 Thomas Jefferson Class Academy 		65	100.0	566	579	534	1145	1679	70	98.6	553	558	534	1111	1645	59	95.2	559	562	528	1121	1649																																																																																																																																							
820	 Sampson County Schools 		183	39.5	475	451	434	926	1360	235	45.9	468	459	442	927	1369	246	39.3	452	446	414	898	1312																																																																																																																																							
820	324	 Sampson Early College High 	20	27.0	490	473	451	963	1414	29	34.1	489	483	446	972	1418	27	32.5	490	498	448	988	1436																																																																																																																																							
820	348	 Hobbton High 	41	43.6	466	444	427	910	1337	46	46.5	463	456	420	919	1339	43	32.1	442	433	393	875	1268																																																																																																																																							
820	349	 Lakewood High 	36	43.9	444	410	402	854	1256	62	60.2	460	448	444	908	1352	59	48	424	413	399	837	1236																																																																																																																																							
820	352	 Midway High 	57	42.2	509	487	458	996	1454	61	46.2	501	489	473	990	1463	73	47.4	480	480	448	960	1408																																																																																																																																							
820	388	 Union High 	29	37.2	450	429	424	879	1303	37	39.8	419	411	409	830	1239	44	33.3	428	417	378	845	1223																																																																																																																																							
821	 Clinton City Schools 		88	56.8	467	454	423	921	1344	106	57.0	459	447	438	906	1344	114	70.4	461	447	431	908	1339																																																																																																																																							
821	308	 Clinton High 	88	56.8	467	454	423	921	1344	106	57.0	459	447	438	906	1344	114	70.4	461	447	431	908	1339																																																																																																																																							
830	 Scotland County Schools 		240	59.0	434	410	398	844	1242	223	60.6	446	430	413	876	1289	216	58.1	445	432	401	877	1278																																																																																																																																							
830	316	 East Laurinburg Alternative 	2	14.3	 * 	 * 	 * 	 * 	 * 	2	11.8	 * 	 * 	 * 	 * 	 * 	1	8.3	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
830	343	 Scotland High 	1	0.3	 * 	 * 	 * 	 * 	 * 	203	67.9	446	427	410	873	1283	202	63.9	443	429	399	872	1271																																																																																																																																							
830	348	 Scotland Early College High 	30	55.6	451	447	435	898	1333	17	32.7	451	464	455	915	1370	13	29.5	473	485	437	958	1395																																																																																																																																							
840	 Stanly County School 		337	54.4	493	461	440	954	1394	277	46.6	491	463	445	954	1399	218	37.5	486	456	434	942	1376																																																																																																																																							
840	302	 Albemarle High 	75	70.1	451	428	404	879	1283	60	51.7	464	426	423	890	1313	34	40	456	426	414	882	1296																																																																																																																																							
840	332	 North Stanly High 	71	49.3	490	449	436	939	1375	77	59.2	499	467	441	966	1407	54	39.4	474	451	423	925	1348																																																																																																																																							
840	356	 South Stanly High 	59	52.7	498	444	419	942	1361	46	44.7	500	470	453	970	1423	43	43.4	487	460	433	947	1380																																																																																																																																							
840	361	 Stanly Early College High Scho 	31	55.4	497	502	484	999	1483	21	38.9	519	514	498	1033	1531	11	17.5	555	540	519	1095	1614																																																																																																																																							
840	368	 West Stanly High 	101	51.0	523	490	467	1013	1480	70	38.5	498	474	451	972	1423	76	39.8	498	458	438	956	1394																																																																																																																																							
84B 	 Gray Stone Day 		60	96.8	575	574	556	1149	1705	68	100.0	554	553	529	1107	1636	87	96.7	570	567	546	1137	1683																																																																																																																																							
850	 Stokes County Schools 		265	53.1	483	472	443	955	1398	233	46.3	482	467	455	949	1404	215	43.2	489	476	454	965	1419																																																																																																																																							
